Age_Bracket,City,Monthly_Income,Dietary_Style,Weekly_Workouts,Orders_Per_Week,Avg_Spend_Order,Primary_Occasions,Interest_Calorie_Control,Alcohol_Consumption_Freq,Drink_Preference,Max_Set_Calories,Favourite_Flavours,Spirits_Enjoyed,Openness_Zero_Proof,Fair_Price_Bundle,Importance_Local_Ingredients,Likely_Try_30_Days,Likely_Reorder_Score,Preferred_Loyalty_Benefit
25-34,Chennai,36789.0,Omni,0,0,1834.0,"Post-work drinks, Weekend treat",5,Never,Mocktails,500,Herbal,None,Yes definitely,800-1 000,4,Yes,4,Free delivery
25-34,Kolkata,34698.0,Omni,1,2,1800.0,"Dinner, Post-work drinks",5,1× week,Mocktails,600,"Citrus, Earthy, Fruity, Smoky","Gin, Vodka",Maybe,<800,4,No,1,Points
18-24,Bengaluru,20000.0,Vegetarian,4,4,1124.0,Weekend treat,4,1-2× month,Cocktails,700,"Citrus, Smoky","Vodka, Whisky",Never,1 000-1 200,5,Maybe,2,Free delivery
35-44,Chennai,20000.0,Omni,0,5,911.0,"Dinner, Lunch",4,1-2× month,Cocktails,500,Herbal,Rum,Maybe,1 000-1 200,5,Yes,5,Cocktail upgrade
18-24,Kolkata,44600.0,Vegan,4,3,1955.0,"Dinner, Weekend treat",5,Never,Mocktails,500,"Citrus, Spicy",None,Yes definitely,800-1 000,5,Yes,5,Free delivery
45-54,Pune,104368.0,Vegetarian,0,2,2000.0,"Post-work drinks, Weekend treat",4,Never,Mocktails,500,"Citrus, Smoky",None,Yes definitely,<800,1,Yes,5,Points
25-34,Bengaluru,20000.0,Vegetarian,0,2,986.0,Weekend treat,5,Never,Mocktails,400,Earthy,None,Yes definitely,1 000-1 200,4,Yes,5,Cocktail upgrade
25-34,Mumbai,21983.0,Omni,3,0,1009.0,"Dinner, Lunch",4,Daily,Equal,600,Smoky,Gin,Maybe,1 000-1 200,4,Yes,3,Free delivery
25-34,Delhi,36236.0,Vegetarian,0,1,1725.0,Dinner,4,Never,Mocktails,500,Smoky,None,Yes definitely,1 000-1 200,3,Maybe,2,Cocktail upgrade
35-44,Pune,20000.0,Omni,2,4,997.0,"Lunch, Post-work drinks",2,1-2× month,Cocktails,500,Citrus,Rum,Unlikely,1 000-1 200,4,Yes,4,Cocktail upgrade
35-44,Delhi,20000.0,Omni,5,0,1183.0,Post-work drinks,5,1-2× month,Mocktails,600,"Earthy, Herbal, Spicy",Gin,Unlikely,1 000-1 200,4,Yes,4,Points
35-44,Mumbai,30648.0,Omni,0,0,1380.0,"Lunch, Post-work drinks, Weekend treat",5,1× week,Cocktails,500,Fruity,Vodka,Maybe,1 000-1 200,4,Yes,3,Nutrition consult
25-34,Mumbai,46529.0,Vegetarian,1,1,1985.0,"Dinner, Lunch",2,1× week,Equal,600,Smoky,Vodka,Maybe,<800,5,Maybe,4,Points
35-44,Kolkata,20000.0,Omni,6,1,1036.0,Lunch,5,1-2× month,Cocktails,600,"Herbal, Spicy",Vodka,Never,800-1 000,3,Yes,5,Cocktail upgrade
45-54,Kolkata,24541.0,Vegetarian,2,4,1210.0,Lunch,5,1× week,Mocktails,400,"Citrus, Earthy, Herbal",Rum,Maybe,>1 200,5,Yes,3,Cocktail upgrade
18-24,Bengaluru,35311.0,Omni,2,2,1685.0,Weekend treat,3,1× week,Mocktails,600,"Citrus, Smoky",Gin,Maybe,1 000-1 200,3,Yes,3,Cocktail upgrade
18-24,Delhi,20000.0,Vegetarian,4,2,1059.0,"Lunch, Post-work drinks",4,1-2× month,Equal,500,Earthy,Gin,Yes definitely,1 000-1 200,1,Maybe,4,Points
18-24,Delhi,20000.0,Vegetarian,5,2,791.0,Lunch,5,1-2× month,Mocktails,400,"Citrus, Earthy, Fruity, Smoky",Whisky,Maybe,800-1 000,5,Yes,4,Free delivery
25-34,Bengaluru,83602.0,Vegetarian,4,1,2000.0,"Post-work drinks, Weekend treat",5,1-2× month,Cocktails,400,"Earthy, Smoky, Spicy",Tequila,Maybe,1 000-1 200,5,Maybe,3,Points
25-34,Mumbai,35033.0,Vegetarian,7,4,1465.0,Dinner,5,1-2× month,Mocktails,600,"Fruity, Herbal, Smoky",Gin,Yes definitely,800-1 000,5,Yes,4,Points
25-34,Mumbai,29071.0,Omni,6,1,1186.0,Weekend treat,5,2-3× week,Equal,500,"Citrus, Fruity, Herbal, Smoky, Spicy","Gin, Tequila",Unlikely,1 000-1 200,4,Yes,3,Points
35-44,Chennai,32700.0,Omni,4,2,1398.0,Post-work drinks,5,Never,Mocktails,400,Smoky,None,Yes definitely,800-1 000,3,Yes,5,Nutrition consult
25-34,Chennai,26589.0,Omni,0,4,2378.0,Weekend treat,3,1× week,Cocktails,500,"Citrus, Spicy","Gin, Tequila, Vodka, Whisky",Unlikely,<800,4,No,1,Points
25-34,Chennai,20000.0,Vegetarian,2,5,1057.0,Weekend treat,4,1-2× month,Cocktails,400,"Citrus, Spicy","Gin, Tequila, Whisky",Yes definitely,800-1 000,5,Maybe,2,Nutrition consult
18-24,Chennai,20000.0,Omni,2,0,1009.0,Post-work drinks,5,2-3× week,Mocktails,500,"Citrus, Fruity",Gin,Maybe,1 000-1 200,4,Yes,4,Free delivery
35-44,Mumbai,20000.0,Omni,4,2,949.0,"Post-work drinks, Weekend treat",4,2-3× week,Equal,600,"Fruity, Herbal",Gin,Yes definitely,1 000-1 200,5,Maybe,2,Cocktail upgrade
25-34,Bengaluru,31708.0,Vegan,1,3,1393.0,"Dinner, Lunch",5,Never,Mocktails,500,Earthy,None,Yes definitely,800-1 000,5,Maybe,4,Cocktail upgrade
25-34,Mumbai,46185.0,Omni,5,3,2000.0,Weekend treat,4,Daily,Cocktails,500,"Earthy, Herbal","Gin, Vodka",Yes definitely,>1 200,4,Yes,4,Cocktail upgrade
35-44,Bengaluru,25750.0,Other,3,2,1275.0,Lunch,3,2-3× week,Cocktails,400,"Citrus, Spicy",Gin,Yes definitely,1 000-1 200,4,Maybe,2,Free delivery
45-54,Kolkata,72717.0,Omni,2,3,2000.0,"Post-work drinks, Weekend treat",4,1-2× month,Mocktails,600,"Citrus, Earthy",Rum,Maybe,800-1 000,5,Maybe,2,Points
25-34,Chennai,210183.0,Omni,5,2,2000.0,Dinner,5,1× week,Cocktails,600,"Fruity, Herbal, Smoky","Tequila, Vodka",Maybe,1 000-1 200,2,Yes,5,Free delivery
35-44,Hyderabad,20000.0,Omni,0,1,1013.0,Dinner,5,2-3× week,Equal,600,"Fruity, Herbal",Rum,Unlikely,1 000-1 200,3,No,1,Points
25-34,Kolkata,20000.0,Other,0,1,1085.0,"Dinner, Lunch, Weekend treat",1,1× week,Equal,500,"Earthy, Fruity",Rum,Unlikely,800-1 000,5,Maybe,2,Nutrition consult
25-34,Kolkata,38664.0,Omni,3,2,1708.0,"Lunch, Weekend treat",2,Never,Mocktails,400,"Earthy, Fruity, Herbal, Smoky",None,Yes definitely,1 000-1 200,3,Maybe,2,Free delivery
45-54,Kolkata,45373.0,Keto,0,0,2000.0,Dinner,3,2-3× week,Cocktails,500,"Citrus, Earthy, Fruity","Rum, Whisky",Never,>1 200,4,Yes,5,Free delivery
45-54,Hyderabad,38534.0,Omni,1,1,2000.0,"Lunch, Post-work drinks",5,1× week,Equal,500,"Fruity, Herbal, Smoky",Vodka,Maybe,1 000-1 200,4,Maybe,3,Points
25-34,Hyderabad,28789.0,Vegetarian,2,2,1407.0,Lunch,2,1-2× month,Cocktails,500,Herbal,"Vodka, Whisky",Yes definitely,<800,3,No,1,Points
25-34,Mumbai,24035.0,Omni,0,0,1162.0,Weekend treat,2,1-2× month,Equal,500,Citrus,Vodka,Maybe,800-1 000,5,Yes,3,Points
25-34,Kolkata,76547.0,Other,0,1,2000.0,Dinner,4,1-2× month,Cocktails,600,Smoky,Vodka,Unlikely,1 000-1 200,3,Maybe,4,Points
18-24,Delhi,29134.0,Vegetarian,0,1,1304.0,Post-work drinks,4,1-2× month,Cocktails,500,Spicy,"Rum, Tequila, Vodka",Unlikely,<800,2,Yes,5,Points
25-34,Mumbai,39716.0,Vegetarian,5,2,1812.0,"Lunch, Post-work drinks",3,2-3× week,Cocktails,500,Spicy,"Gin, Tequila",Yes definitely,<800,4,Yes,4,Free delivery
25-34,Delhi,43067.0,Vegan,3,1,2000.0,"Lunch, Post-work drinks",5,1-2× month,Cocktails,600,"Herbal, Spicy","Rum, Tequila, Vodka",Maybe,1 000-1 200,5,No,1,Points
25-34,Hyderabad,47472.0,Omni,0,1,2000.0,Dinner,3,2-3× week,Cocktails,400,"Citrus, Fruity, Herbal, Spicy","Tequila, Whisky",Yes definitely,1 000-1 200,4,Yes,3,Nutrition consult
35-44,Delhi,76135.0,Omni,2,0,2000.0,Dinner,4,Daily,Cocktails,400,"Earthy, Smoky","Gin, Tequila",Yes definitely,800-1 000,3,Yes,5,Cocktail upgrade
18-24,Pune,39471.0,Vegetarian,5,5,1745.0,Lunch,4,Daily,Cocktails,500,"Herbal, Smoky","Rum, Whisky",Maybe,1 000-1 200,3,Maybe,4,Points
25-34,Delhi,20000.0,Other,2,1,913.0,Dinner,4,Never,Mocktails,500,"Citrus, Fruity, Herbal, Spicy",None,Yes definitely,1 000-1 200,4,Yes,5,Points
35-44,Mumbai,20829.0,Omni,2,1,1023.0,"Lunch, Post-work drinks",5,2-3× week,Equal,500,Smoky,"Gin, Rum, Vodka",Unlikely,<800,5,Yes,5,Cocktail upgrade
18-24,Bengaluru,26705.0,Vegan,2,1,1307.0,Lunch,3,Never,Mocktails,600,"Citrus, Earthy",None,Yes definitely,800-1 000,4,Yes,4,Points
35-44,Chennai,36519.0,Omni,0,4,1670.0,"Lunch, Post-work drinks, Weekend treat",4,2-3× week,Equal,400,"Citrus, Fruity","Gin, Tequila, Whisky",Unlikely,800-1 000,4,Maybe,2,Nutrition consult
35-44,Hyderabad,21472.0,Omni,4,1,984.0,Dinner,4,2-3× week,Cocktails,700,Citrus,"Gin, Tequila",Unlikely,1 000-1 200,3,Yes,5,Free delivery
35-44,Chennai,51736.0,Vegan,3,0,2000.0,Weekend treat,4,Never,Mocktails,500,"Herbal, Spicy",None,Yes definitely,800-1 000,2,Yes,3,Free delivery
45-54,Bengaluru,20852.0,Omni,4,3,1012.0,Weekend treat,3,Never,Mocktails,500,Fruity,None,Yes definitely,800-1 000,3,Yes,5,Cocktail upgrade
25-34,Bengaluru,38158.0,Other,3,1,1602.0,"Post-work drinks, Weekend treat",5,Never,Mocktails,600,Fruity,None,Yes definitely,1 000-1 200,4,Maybe,2,Free delivery
35-44,Kolkata,30642.0,Omni,0,3,1563.0,Post-work drinks,3,1-2× month,Cocktails,400,"Earthy, Smoky, Spicy",Rum,Maybe,<800,5,Yes,3,Free delivery
35-44,Mumbai,42353.0,Omni,0,1,1807.0,Lunch,3,2-3× week,Cocktails,600,"Citrus, Fruity, Smoky",Whisky,Unlikely,800-1 000,5,Yes,5,Points
25-34,Hyderabad,35855.0,Vegetarian,7,2,1553.0,"Lunch, Post-work drinks",5,1× week,Cocktails,400,Fruity,"Tequila, Whisky",Unlikely,1 000-1 200,1,Yes,5,Points
18-24,Delhi,20344.0,Vegetarian,1,3,999.0,Dinner,5,Never,Mocktails,600,Earthy,None,Yes definitely,1 000-1 200,5,Yes,4,Free delivery
35-44,Chennai,48598.0,Omni,3,0,2000.0,Post-work drinks,5,1-2× month,Cocktails,400,Citrus,"Gin, Rum, Vodka",Yes definitely,1 000-1 200,3,Maybe,3,Free delivery
18-24,Delhi,20000.0,Omni,2,0,981.0,Dinner,4,Daily,Mocktails,600,Smoky,"Gin, Vodka",Maybe,1 000-1 200,5,Maybe,2,Nutrition consult
